Dia;Mes;Ano;FullName;TweetText;Link(s);Media;Retweets;Favorites;Followers;Follows;Listed
23;5;2019;Jair M. Bolsonaro;- LIVE DE 23 DE MAIO DE 2019: daqui a pouco, às 19h, espero vocês para mais uma live semanal transmitida pelo nosso Facebook. Até já!;;;1035;6131;4307541;346;4413
23;5;2019;Jair M. Bolsonaro;GRANDE DIA! A Fiat-Chrysler anunciou que irá investir R$ 16 bilhões no Brasil até 2024, o maior ciclo de investimento da história da empresa em nosso país. A estimativa é de 16 mil novos empregos diretos e indiretos. Estamos resgatando a confiança de quem produz! 👍;;;3698;19248;4305961;346;4414
23;5;2019;Jair M. Bolsonaro;Na reunião ministerial da OCDE que ocorre hoje em Paris, os EUA reafirmaram seu apoio ao ingresso do Brasil na organização. Atualmente, todos os 36 membros da OCDE apoiam a nossa entrada, fruto da confiança no novo Brasil que estamos construindo, mais livre, aberto e justo. 👍;;;1625;9083;4305601;346;4413
23;5;2019;Jair M. Bolsonaro;Aeroporto de Cascavel rumo a Capanema/PR.;;;559;3515;4304908;346;4405
22;5;2019;Jair M. Bolsonaro;Estive há pouco na cerimônia do 71° aniversário do Estado de Israel. Nunca nossos laços de amizade e cooperação estiveram tão fortes. Shalom. 🇧🇷🇮🇱 - com Embaixador de Israel no Brasil, Yossi Shelley.;;;741;5657;4300828;347;4406
22;5;2019;Jair M. Bolsonaro;Aprovada no Senado a MP que libera capital estrangeiro em companhias aéreas brasileiras. Ganha a nossa ecomomia e nossa população com os efeitos da competitividade e do livre mercado: melhores serviços e menores preços. Parabéns a todos que trabalharam na aprovação desta medida!;;;661;4357;4300315;347;4408
22;5;2019;Jair M. Bolsonaro;Aprovada ontem, na Câmara, a MP 863, que abre o setor aéreo brasileiro aos investidores estrangeiros. Na prática aumentam os trechos disponíveis, a competitividade, melhoram os serviços e caem os preços. Vai para o Senado e já pode ser votada hoje. 👍🏻;;;1354;9168;4295274;347;4408
21;5;2019;Jair M. Bolsonaro;Quanto aos atos do dia 26, vejo como uma manifestação espontânea da população, que de forma inédita vem sendo a voz principal para as decisões políticas que o Brasil deve tomar.;;;2927;17607;4293120;347;4407
21;5;2019;Jair M. Bolsonaro;O Ministro da Saúde encontrou o estoque de remédios para doenças raras e transplantados zerados no início de janeiro. Gasto anual com esses medicamentos é próximo de R$ 15 bilhões. Licitação para recomposição do estoque e distribuição aos pacientes deve ser normalizada até junho.;;;184;1102;4288761;347;4413
21;5;2019;Jair M. Bolsonaro;"""E conhecereis a verdade, e a verdade vos libertará"" João 8:32. Carrego esta mensagem sempre à frente de nossa missão. Bom dia a todos!";;;687;4504;4286964;347;4411
20;5;2019;Jair M. Bolsonaro;Como dito na semana passada, temos a intenção de destinar grande parte ou todo o valor da multa da Petrobrás acordada com a Lava Jato ao Ministério da Educação, equivalente a R$ 2,5 bilhões. O dinheiro, que retorna ao Brasil, pode ser aplicado em áreas sem ligação à petrolífera.;;;1530;8547;4281894;348;4414
20;5;2019;Jair M. Bolsonaro;"Não fui eu que anulei o legislativo comprando votos, não fui eu que tive em meu plano de governo o controle da mídia e da internet e fui eu quem levou uma facada de um militante de esquerda. É exatamente o contrário, Folha. 100% Fake News! RT @folha: Bolsonaro quer fechar Congresso e STF, censurar a imprensa e perseguir esquerda; leia coluna de Celso Rocha de Barro @NPTO";;;3595;15208;4281894;348;4414
20;5;2019;Jair M. Bolsonaro;A Nova Previdência é a porta de entrada para o progresso do Brasil. É com sua aprovação que se viabilizam diversas outras ações econômicas benéficas para o país, como a Reforma Tributária, que pretendemos apresentar logo após, compreendendo ser um desejo urgente dos brasileiros.;;;1669;9227;4277960;348;4402
19;5;2019;Jair M. Bolsonaro;Vitória conservadora na Austrália! Parabenizo o primeiro-ministro @ScottMorrisonMP por sua reeleição, refutando as pesquisas que davam vantagem à esquerda com o Partido Trabalhista. Grande vitória! 👍;;;1553;10783;4268153;346;4394
18;5;2019;Jair M. Bolsonaro;Nessa data nos deixa um Herói da Segunda Guerra Mundial. À familia do Tenente-coronel Bini nossos mais profundos sentimentos. Que sua alma descanse e que a Paz de Deus habite o coração de todos nós!;;;1290;10274;4263193;347;4392
18;5;2019;Jair M. Bolsonaro;Alexandre Garcia faz análise impecável sobre quem está contra o Governo Jair Bolsonaro e seus motivos. Assista:;;;7;83;4258704;346;4395
18;5;2019;Jair M. Bolsonaro;Tomei conhecimento e agradeço imensamente a todos pela hashtag #BolsonaroNossoPresidente, que chegou a nível mundial no Twitter. Retribuo e ressalto que somente com o apoio de todos vocês poderemos mudar de vez o futuro do nosso Brasil! 👍;;;4023;20228;4255861;346;4395
18;5;2019;Jair M. Bolsonaro;Visita de alunos no Alvorada, residência oficial do Presidente da República. É pelo futuro dessas crianças o nosso maior empenho. Agradeço a Deus pela minha vida e pela MISSÃO de conduzir os destinos do Brasil. 🇧🇷🇧🇷🇧🇷;;;226;1435;4252705;347;4393
18;5;2019;Jair M. Bolsonaro;Seminaristas querem proibir o termo Fake News e usam Folha de SP como fonte. A cada dia o brasileiro tem mais acesso à informação e conhece a verdade sem precisar de alguns órgãos de imprensa famosos pelas Fake News. Sigo defendendo uma internet livre.;;;970;5129;4251036;347;4392
17;5;2019;Jair M. Bolsonaro;Em 2018 a Petrobrás assinou contrato de publicidade de R$ 782 milhões com a McLaren, válido por 5 anos. No momento, a empresa, por decisão do meu Governo, busca uma maneira de rescindir o contrato. Boa noite a todos!;;;335;2255;4246966;347;4389
